,M11,M12,M13,M14,M15,M16,M21,M22,M23,M24,M25,M26,M31,M32,M33,M34,M35,M36,M41,M42,M43,M44,M45,M46,M51,M52,M53,M54,M55,M56,M61,M62,M63,M64,M65,M66
Day A e=0.583254,0.04176878,0.04118806,0.0001225,0.00009898,0.05264859,0.05306828,0.99319125,0.99296736,0.00012553,0.0000001,0.05324721,0.05264428,0.99293333,0.0411887,0.99909015,0.99840118,0.00000006,0.00012215,0.99395727,0.99293333,1,0.99905656,0.00010037,0.00012198,0.00006067,0.00005941,0.98761225,0.03932859,0.98762824,0.03933237,0.00034289,0.00006129,0.98855512,0.03995698,0.98698582,0.03978142
Day B e=0.389751,0.61944251,0.60074773,0.00048369,0.0003635,0.44041691,0.45822744,0.51447533,0.5137648,0.00038749,0.00000707,0.44050994,0.44035172,0.51374411,0.60059937,0.52820006,0.5271542,0.00000608,0.00033311,0.51840374,0.51374411,0.53058993,0.52821601,0.00042735,0.00035648,0.00004322,0.00004233,0.50200726,0.984158,0.50184019,0.9838556,0.00073675,0.00004226,0.50432541,0.98329109,0.50095521,1
Day C e=0.642245,0.76548741,0.000174,0.00000294,0.0000071,0.00026685,0.87531866,0.00091508,0.00089996,0.00000346,0.00000108,0.00027828,0.00027416,0.00090735,0.0001798,0.00091073,0.00089149,0.00000089,0.00000519,0.00095423,0.00090735,0.0009532,0.00092267,0.00000691,0.00000589,0.00000921,0.00000912,0.00091187,0.00015583,0.0009015,0.00014783,0.00058983,0.00001038,0.00093866,0.00015977,0.00088849,1
Simulation,0.02462062,0.96541366,0.05233049,0.15649073,0.99398221,0.83440535,0.28821979,0.90742345,0.12923954,0,0.25957742,0.9940862,0.90740975,0.96540035,0.92385402,0.18425105,0,0.16762267,0.42187958,0.90740975,0.22492672,0.9238142,1,0.91954277,0,0,0.91434923,0.97152632,0.91446672,0.97155232,0.38928987,0,0.22952097,0.41337067,0.07941131,0.83671671
